Name,Id,Address,Rating,Review Count,Price,Latitude,Longitude
Capuleto Ristorante,ChIJJzC25Le_YoYR4DwSUYNei7M,"Local 12 y 13, Av. Eugenio Garza Sada 2410, Roma, 64700 Monterrey, N.L., Mexico",4.6,225.0,2.0,25.6526683,-100.2943865
El Gaucho,ChIJtzo60bq_YoYRcrIPNgi5nL8,"Arroyo Seco 100, Arroyo Seco, 64740 Monterrey, N.L., Mexico",4.7,3950.0,3.0,25.641993,-100.287138
Las Pampas Restaurante,ChIJ-ZWtc8i_YoYR8bSyGRacNiQ,"Av. Eugenio Garza Sada Sur 2401, Roma, 64700 Monterrey, N.L., Mexico",4.6,196.0,2.0,25.6535847,-100.2947531
Yulia,ChIJs2-hEMi_YoYRz-TPqsZwnVA,"Av. Eugenio Garza Sada Sur 2408, Tecnológico, 64700 Monterrey, N.L., Mexico",4.5,823.0,2.0,25.6514129,-100.284647
Yama-To,ChIJ4TeWr7-_YoYRc_JDZTsjOxQ,"Dover 2903, Narvarte, 64830 Monterrey, N.L., Mexico",4.7,1920.0,2.0,25.6356611,-100.2839361
Los Arcos,ChIJWeJA38i_YoYRMn-blbmKAMA,"Av. Eugenio Garza Sada 3752, Contry, 64860 Monterrey, N.L., Mexico",4.7,1075.0,2.0,25.6712859,-100.3059172
La Divina,ChIJHYAEQiu-YoYRBTxOvG4CgOE,"Calle Diego de Montemayor 507 Sur, Centro, 64000 Monterrey, N.L., Mexico",4.6,931.0,3.0,25.6760782,-100.282441
El Lingote,ChIJzxpWCuC_YoYRsN0WCa_rOcA,"Av. Fundidora s/n Museo del Acero A.C, Obrera, 64010 Monterrey, N.L., Mexico",4.5,1107.0,2.0,25.648464,-100.296475
El Semáforo,ChIJ_zgYILe_YoYR5EYzs6bfBWk,"Río Pánuco 2222, México, 64740 Monterrey, N.L., Mexico",4.4,521.0,2.0,25.6661397,-100.3066298
Me Muero de Hambre,ChIJZ-6IGS2-YoYRx8srKn9Z7rU,"Francisco Javier Mina 1003, Barrio Antiguo, Centro, 64000 Monterrey, N.L., Mexico",4.4,3533.0,2.0,25.6492068,-100.2950271
EL Torito Sinaloense TEC,ChIJq8RSE7e_YoYRD5-CKn0zYbA,"Av. Del Estado 307, Tecnológico, 64700 Monterrey, N.L., Mexico",4.3,1710.0,2.0,25.6531881,-100.2941941
Muncher House,ChIJ1RV-EMi_YoYRzZa2Sldh1zA,"Plaza Paseo Tec II, Av. Eugenio Garza Sada Sur 2408, Roma, 64700 Monterrey, N.L., Mexico",4.6,1935.0,3.0,25.6409234,-100.2854039
Mr.Pampas Garza Sada,ChIJC3YkK56_YoYRjy_AOLrblsU,"Av. Eugenio Garza Sada Sur 3515, Contry, 64860 Monterrey, N.L., Mexico",4.6,6853.0,3.0,25.6471958,-100.3271846
Zitla & Zicatela,ChIJKx3xCci_YoYRIxr04l6iB2o,"Paseo Tec. Ave. Eugenio Garza Sada 2408, local L20, Colonia Roma, 64700 Monterrey, N.L., Mexico",4.1,226.0,2.0,25.6419444,-100.2794444
Los Hidalgos,ChIJpTfU0EG-YoYRhajF5St9JHM,"Av Lázaro Cárdenas 2660, Zona Valle Oriente, 66278 San Pedro Garza García, N.L., Mexico",4.7,1860.0,2.0,25.6649995,-100.3089227
Las Hijas de la Tostada Monterrey,ChIJ5SsWBMi_YoYRt2uTaGK4-UU,"Plaza Paseo Tec II Colonia, Tecnológico, 64700 Monterrey, N.L., Mexico",4.2,247.0,3.0,25.6666378,-100.3407827
PANGEA,ChIJ8Rlqs5W9YoYRFvRQFa-VXl4,"Av. del Roble 660, Valle del Campestre, 66265 Monterrey, N.L., Mexico",4.7,891.0,3.0,25.7020702,-100.3669739
